id,dominant_lexicon,dominant_embedding
180,sanctity.virtue,sanctity.virtue
181,sanctity.virtue,care.virtue
182,authority.virtue,sanctity.virtue
183,loyalty.virtue,care.virtue
184,authority.virtue,authority.virtue
185,loyalty.virtue,loyalty.virtue
186,care.virtue,loyalty.virtue
187,authority.virtue,authority.virtue
188,care.virtue,sanctity.virtue
189,care.virtue,sanctity.virtue
190,sanctity.virtue,care.virtue
191,care.virtue,sanctity.virtue
192,authority.virtue,authority.virtue
193,care.virtue,care.virtue
194,authority.virtue,care.virtue
195,sanctity.virtue,sanctity.virtue
196,sanctity.virtue,sanctity.virtue
197,sanctity.virtue,authority.virtue
198,sanctity.virtue,sanctity.virtue
199,loyalty.virtue,sanctity.virtue
200,authority.virtue,authority.virtue
201,authority.virtue,sanctity.virtue
202,sanctity.virtue,loyalty.virtue
